Linha,Rotulo Verdadeiro,Rotulo Classificado
1,1.0,1.0
2,2.0,3.0
3,3.0,3.0
4,1.0,1.0
5,1.0,1.0
6,3.0,3.0
7,2.0,3.0
8,2.0,2.0
9,1.0,1.0
10,2.0,2.0
11,3.0,2.0
12,2.0,2.0
13,2.0,2.0
14,1.0,1.0
15,1.0,1.0
16,3.0,3.0
17,1.0,1.0
18,2.0,2.0
19,1.0,1.0
20,3.0,3.0
21,1.0,1.0
22,1.0,1.0
23,2.0,2.0
24,3.0,3.0
25,1.0,1.0
26,3.0,3.0
27,1.0,1.0
28,1.0,1.0
29,1.0,1.0
30,3.0,3.0
31,3.0,3.0
32,1.0,1.0
33,1.0,1.0
34,3.0,3.0
35,3.0,3.0
36,1.0,1.0
37,3.0,3.0
38,3.0,3.0
39,3.0,3.0
40,2.0,2.0
41,2.0,2.0
42,3.0,3.0
43,2.0,2.0
44,1.0,1.0
45,1.0,1.0
46,2.0,2.0
47,1.0,1.0
48,1.0,1.0
49,1.0,1.0
50,3.0,3.0
51,3.0,3.0
52,3.0,3.0
53,2.0,2.0
54,2.0,2.0
55,2.0,2.0
56,2.0,2.0
57,3.0,3.0
58,1.0,1.0
59,3.0,3.0
60,2.0,2.0
61,3.0,3.0
62,2.0,2.0
63,2.0,2.0
64,3.0,3.0
65,3.0,3.0
66,3.0,3.0
67,3.0,3.0
68,2.0,2.0
69,2.0,2.0
70,1.0,1.0
71,1.0,1.0
72,1.0,1.0
73,1.0,1.0
74,1.0,1.0
75,1.0,1.0
76,1.0,1.0
77,3.0,3.0
78,2.0,2.0
79,1.0,1.0
80,2.0,2.0
81,1.0,1.0
82,3.0,3.0
83,2.0,2.0
84,1.0,1.0
85,1.0,1.0
86,2.0,2.0
87,1.0,1.0
88,1.0,1.0
89,3.0,3.0
90,3.0,3.0
91,2.0,2.0
92,3.0,3.0
93,3.0,3.0
94,1.0,1.0
95,3.0,3.0
96,1.0,1.0
97,3.0,3.0
98,3.0,3.0
99,3.0,3.0
100,1.0,1.0
101,1.0,1.0
102,1.0,1.0
103,1.0,1.0
104,3.0,3.0
105,1.0,1.0
106,1.0,1.0
107,2.0,2.0
108,1.0,1.0
109,1.0,1.0
110,1.0,1.0
111,1.0,1.0
112,1.0,1.0
113,1.0,1.0
114,1.0,1.0
115,2.0,2.0
116,1.0,1.0
117,1.0,1.0
118,2.0,2.0
119,3.0,3.0
120,3.0,3.0
121,1.0,1.0
122,3.0,3.0
123,3.0,3.0
124,1.0,1.0
125,1.0,1.0
126,3.0,3.0
127,1.0,1.0
128,1.0,1.0
129,2.0,2.0
130,3.0,3.0
131,1.0,1.0
132,2.0,2.0
133,3.0,3.0
134,1.0,1.0
135,1.0,1.0
136,3.0,3.0
137,1.0,1.0
138,1.0,1.0
139,1.0,1.0
140,1.0,1.0
141,3.0,3.0
142,3.0,3.0
143,3.0,3.0
144,2.0,2.0
145,3.0,3.0
146,1.0,1.0
147,3.0,3.0
148,2.0,2.0
149,1.0,1.0
150,1.0,1.0
151,2.0,2.0
152,1.0,1.0
153,1.0,1.0
154,2.0,2.0
155,1.0,1.0
156,1.0,1.0
157,2.0,2.0
158,1.0,1.0
159,1.0,1.0
160,3.0,3.0
161,2.0,2.0
162,2.0,2.0
163,1.0,1.0
164,2.0,2.0
165,2.0,2.0
166,3.0,3.0
167,2.0,2.0
168,1.0,1.0
169,2.0,2.0
170,1.0,1.0
171,3.0,3.0
172,1.0,1.0
173,3.0,3.0
174,2.0,2.0
175,1.0,1.0
176,1.0,1.0
177,2.0,2.0
178,1.0,1.0
179,2.0,2.0
180,3.0,3.0
181,1.0,1.0
182,2.0,2.0
183,3.0,3.0
184,1.0,1.0
185,3.0,3.0
186,3.0,3.0
187,3.0,3.0
188,1.0,1.0
189,1.0,1.0
190,1.0,1.0
191,1.0,1.0
192,1.0,1.0
193,1.0,1.0
194,2.0,2.0
195,2.0,2.0
196,1.0,1.0
197,1.0,1.0
198,2.0,2.0
199,1.0,1.0
200,3.0,3.0
201,3.0,3.0
202,3.0,3.0
203,2.0,2.0
204,1.0,1.0
205,1.0,1.0
206,2.0,2.0
207,1.0,1.0
208,1.0,1.0
209,1.0,1.0
210,1.0,1.0
211,3.0,3.0
212,3.0,3.0
213,1.0,1.0
214,1.0,1.0
215,1.0,1.0
216,1.0,1.0
217,1.0,1.0
218,1.0,1.0
219,2.0,2.0
220,1.0,1.0
221,1.0,1.0
222,2.0,2.0
223,1.0,1.0
224,2.0,2.0
225,2.0,2.0
226,2.0,2.0
227,1.0,1.0
228,2.0,2.0
229,1.0,1.0
230,3.0,3.0
231,1.0,1.0
232,1.0,1.0
233,2.0,2.0
234,1.0,1.0
235,2.0,2.0
236,2.0,2.0
237,1.0,1.0
238,1.0,1.0
239,2.0,2.0
240,2.0,2.0
241,2.0,2.0
242,2.0,2.0
243,2.0,2.0
244,3.0,3.0
245,1.0,1.0
246,1.0,1.0
247,3.0,3.0
248,1.0,1.0
249,3.0,3.0
250,3.0,3.0
251,2.0,2.0
252,2.0,2.0
253,3.0,3.0
254,1.0,1.0
255,2.0,2.0
256,3.0,3.0
257,1.0,1.0
258,3.0,3.0
259,2.0,2.0
260,1.0,1.0
261,1.0,1.0
262,1.0,1.0
263,2.0,2.0
264,1.0,1.0
265,3.0,3.0
266,3.0,3.0
267,3.0,3.0
268,2.0,2.0
269,1.0,1.0
270,2.0,2.0
271,3.0,3.0
272,3.0,3.0
273,1.0,1.0
274,1.0,1.0
275,1.0,1.0
276,2.0,2.0
277,2.0,2.0
278,1.0,1.0
279,1.0,1.0
280,2.0,2.0
281,3.0,3.0
282,3.0,3.0
283,1.0,1.0
284,1.0,1.0
285,1.0,1.0
286,2.0,2.0
287,1.0,1.0
288,2.0,2.0
289,3.0,3.0
290,1.0,1.0
291,3.0,3.0
292,2.0,2.0
293,3.0,3.0
294,1.0,1.0
295,3.0,3.0
296,1.0,1.0
297,3.0,3.0
298,1.0,1.0
299,3.0,3.0
300,1.0,1.0
301,1.0,1.0
302,2.0,2.0
303,2.0,2.0
304,2.0,2.0
305,2.0,2.0
306,3.0,3.0
307,2.0,2.0
308,3.0,3.0
309,1.0,1.0
310,2.0,2.0
311,3.0,3.0
312,1.0,1.0
313,1.0,1.0
314,2.0,2.0
315,3.0,3.0
316,3.0,3.0
317,3.0,3.0
318,1.0,1.0
319,2.0,2.0
320,2.0,2.0
321,3.0,3.0
322,1.0,1.0
323,1.0,1.0
324,3.0,3.0
325,2.0,2.0
326,2.0,2.0
327,1.0,1.0
328,1.0,1.0
329,1.0,1.0
330,3.0,3.0
331,2.0,2.0
332,3.0,3.0
333,1.0,1.0
334,3.0,3.0
335,2.0,2.0
336,1.0,1.0
337,3.0,3.0
338,3.0,3.0
339,3.0,3.0
340,2.0,2.0
341,2.0,2.0
342,3.0,3.0
343,1.0,1.0
344,1.0,1.0
345,2.0,2.0
346,2.0,2.0
347,1.0,1.0
348,3.0,3.0
349,2.0,2.0
350,2.0,2.0
351,1.0,1.0
352,3.0,3.0
353,2.0,2.0
354,3.0,3.0
355,1.0,1.0
356,2.0,2.0
357,3.0,3.0
358,1.0,1.0
359,1.0,1.0
360,2.0,2.0
361,1.0,1.0
362,1.0,1.0
363,1.0,1.0
364,1.0,1.0
365,1.0,1.0
366,3.0,3.0
367,2.0,2.0
368,2.0,2.0
369,2.0,2.0
370,2.0,2.0
371,1.0,1.0
372,1.0,1.0
373,2.0,2.0
374,2.0,2.0
375,2.0,2.0
376,2.0,2.0
377,3.0,3.0
378,1.0,1.0
379,3.0,3.0
380,2.0,2.0
381,2.0,2.0
382,2.0,2.0
383,2.0,2.0
384,3.0,3.0
385,1.0,1.0
386,2.0,2.0
387,2.0,2.0
388,2.0,2.0
389,1.0,1.0
390,3.0,3.0
391,1.0,1.0
392,1.0,1.0
393,1.0,1.0
394,1.0,1.0
395,3.0,3.0
396,2.0,2.0
397,2.0,2.0
398,2.0,2.0
399,1.0,1.0
400,2.0,2.0
401,3.0,3.0
402,1.0,1.0
403,2.0,2.0
404,2.0,2.0
405,3.0,3.0
406,1.0,1.0
407,2.0,2.0
408,1.0,1.0
409,2.0,2.0
410,1.0,1.0
411,3.0,3.0
412,3.0,3.0
413,1.0,1.0
414,2.0,2.0
415,2.0,2.0
416,1.0,1.0
417,2.0,2.0
418,2.0,2.0
419,1.0,1.0
420,1.0,1.0
421,1.0,1.0
422,1.0,1.0
423,1.0,1.0
424,3.0,3.0
425,1.0,1.0
426,1.0,1.0
427,1.0,1.0
428,3.0,3.0
429,1.0,1.0
430,3.0,3.0
431,1.0,1.0
432,1.0,1.0
433,3.0,3.0
434,3.0,3.0
435,3.0,3.0
436,1.0,1.0
437,3.0,3.0
438,3.0,3.0
439,1.0,1.0
440,2.0,2.0
441,2.0,2.0
442,2.0,2.0
443,2.0,2.0
444,2.0,2.0
445,1.0,1.0
446,1.0,1.0
447,2.0,2.0
448,1.0,1.0
449,1.0,1.0
450,3.0,3.0
451,2.0,2.0
452,2.0,2.0
453,1.0,1.0
454,1.0,1.0
455,2.0,2.0
456,2.0,2.0
457,2.0,2.0
458,3.0,3.0
459,1.0,1.0
460,2.0,2.0
461,2.0,2.0
462,2.0,2.0
463,1.0,1.0
464,1.0,1.0
465,3.0,3.0
466,3.0,3.0
467,1.0,1.0
468,1.0,1.0
469,1.0,1.0
470,1.0,1.0
471,2.0,2.0
472,1.0,1.0
473,2.0,2.0
474,2.0,2.0
475,3.0,3.0
476,3.0,3.0
477,3.0,3.0
478,2.0,2.0
479,3.0,3.0
480,1.0,1.0
481,3.0,3.0
482,1.0,1.0
483,2.0,2.0
484,1.0,1.0
485,1.0,1.0
486,3.0,3.0
487,3.0,3.0
488,1.0,1.0
489,2.0,2.0
490,1.0,1.0
491,3.0,3.0
492,2.0,2.0
493,1.0,1.0
494,3.0,3.0
495,2.0,2.0
496,1.0,1.0
497,2.0,2.0
498,3.0,3.0
499,2.0,2.0
500,1.0,1.0
501,3.0,3.0
502,1.0,1.0
503,3.0,3.0
504,1.0,1.0
505,2.0,2.0
506,3.0,3.0
507,2.0,2.0
508,3.0,3.0
509,1.0,1.0
510,3.0,3.0
511,1.0,1.0
512,3.0,3.0
513,2.0,2.0
514,2.0,2.0
515,3.0,3.0
516,2.0,2.0
517,1.0,1.0
518,2.0,2.0
519,1.0,1.0
520,2.0,2.0
521,1.0,1.0
522,2.0,2.0
523,1.0,1.0
524,3.0,3.0
525,1.0,1.0
526,1.0,1.0
527,2.0,2.0
528,3.0,3.0
529,2.0,2.0
530,3.0,3.0
531,2.0,2.0
532,2.0,2.0
533,1.0,1.0
534,2.0,2.0
535,3.0,3.0
536,2.0,2.0
537,1.0,1.0
538,2.0,2.0
539,3.0,3.0
540,1.0,1.0
541,1.0,1.0
542,2.0,2.0
543,1.0,1.0
544,2.0,2.0
545,1.0,1.0
546,1.0,1.0
547,3.0,3.0
548,2.0,2.0
549,1.0,1.0
550,2.0,2.0
551,1.0,1.0
552,1.0,1.0
553,2.0,2.0
554,2.0,2.0
555,2.0,2.0
556,2.0,2.0
557,1.0,1.0
558,1.0,1.0
559,1.0,1.0
560,2.0,2.0
561,1.0,1.0
562,1.0,1.0
563,1.0,1.0
564,2.0,2.0
565,2.0,2.0
566,3.0,3.0
567,3.0,3.0
568,2.0,2.0
569,1.0,1.0
570,3.0,3.0
571,3.0,3.0
572,2.0,2.0
573,3.0,3.0
574,2.0,2.0
575,1.0,1.0
576,2.0,2.0
577,2.0,2.0
578,1.0,1.0
579,3.0,3.0
580,3.0,3.0
581,1.0,1.0
582,3.0,3.0
583,3.0,3.0
584,1.0,1.0
585,2.0,2.0
586,1.0,1.0
587,2.0,2.0
588,3.0,3.0
589,1.0,1.0
590,1.0,1.0
591,1.0,1.0
592,1.0,1.0
593,3.0,3.0
594,3.0,3.0
595,3.0,3.0
596,1.0,1.0
597,1.0,1.0
598,2.0,2.0
599,1.0,1.0
600,1.0,1.0
601,3.0,3.0
602,1.0,1.0
603,1.0,1.0
604,1.0,1.0
605,3.0,3.0
606,1.0,1.0
607,1.0,1.0
608,1.0,1.0
609,3.0,3.0
610,1.0,1.0
611,2.0,2.0
612,1.0,1.0
613,2.0,2.0
614,3.0,3.0
615,3.0,3.0
616,1.0,1.0
617,1.0,1.0
618,3.0,3.0
619,3.0,3.0
620,2.0,2.0
621,2.0,2.0
622,3.0,3.0
623,2.0,2.0
624,1.0,1.0
625,2.0,2.0
626,3.0,3.0
627,3.0,3.0
628,1.0,1.0
629,3.0,3.0
630,3.0,3.0
631,3.0,3.0
632,1.0,1.0
633,2.0,2.0
634,2.0,2.0
635,3.0,3.0
636,3.0,3.0
637,3.0,3.0
638,1.0,1.0
639,2.0,2.0
640,1.0,1.0
641,1.0,1.0
642,3.0,3.0
643,1.0,1.0
644,3.0,3.0
645,1.0,1.0
646,2.0,2.0
647,2.0,2.0
648,2.0,2.0
649,2.0,2.0
650,3.0,3.0
651,1.0,1.0
652,1.0,1.0
653,3.0,3.0
654,3.0,3.0
655,1.0,1.0
656,3.0,3.0
657,2.0,2.0
658,2.0,2.0
659,1.0,1.0
660,1.0,1.0
661,1.0,1.0
662,3.0,3.0
663,2.0,2.0
664,1.0,1.0
665,1.0,1.0
666,1.0,1.0
667,2.0,2.0
668,2.0,2.0
669,2.0,2.0
670,2.0,2.0
671,1.0,1.0
672,2.0,2.0
673,1.0,1.0
674,1.0,1.0
675,3.0,3.0
676,1.0,1.0
677,3.0,3.0
678,3.0,3.0
679,2.0,2.0
680,2.0,2.0
681,1.0,1.0
682,3.0,3.0
683,2.0,2.0
684,1.0,1.0
685,1.0,1.0
686,1.0,1.0
687,1.0,1.0
688,1.0,1.0
689,2.0,2.0
690,1.0,1.0
691,1.0,1.0
692,2.0,2.0
693,1.0,1.0
694,1.0,1.0
695,1.0,1.0
696,3.0,3.0
697,3.0,3.0
698,2.0,2.0
699,3.0,3.0
700,1.0,1.0
701,3.0,3.0
702,2.0,2.0
703,1.0,1.0
704,1.0,1.0
705,1.0,1.0
706,3.0,3.0
707,2.0,2.0
708,3.0,3.0
709,3.0,3.0
710,1.0,1.0
711,3.0,3.0
712,3.0,3.0
713,1.0,1.0
714,2.0,2.0
715,1.0,1.0
716,1.0,1.0
717,3.0,3.0
718,3.0,3.0
719,1.0,1.0
720,1.0,1.0
721,3.0,3.0
722,2.0,2.0
723,1.0,1.0
724,1.0,1.0
725,2.0,2.0
726,3.0,3.0
727,1.0,1.0
728,1.0,1.0
729,3.0,3.0
730,3.0,3.0
731,2.0,2.0
732,3.0,3.0
733,3.0,3.0
734,1.0,1.0
735,3.0,3.0
736,3.0,3.0
737,1.0,1.0
738,1.0,1.0
739,1.0,1.0
740,2.0,2.0
741,1.0,1.0
742,2.0,2.0
743,1.0,1.0
744,1.0,1.0
745,1.0,1.0
746,3.0,3.0
747,3.0,3.0
748,1.0,1.0
749,1.0,1.0
750,2.0,2.0
751,2.0,2.0
752,3.0,3.0
753,1.0,1.0
754,1.0,1.0
755,1.0,1.0
756,3.0,3.0
757,1.0,1.0
758,1.0,1.0
759,3.0,3.0
760,3.0,3.0
761,2.0,2.0
762,2.0,2.0
763,2.0,2.0
764,2.0,2.0
765,2.0,2.0
766,2.0,2.0
767,1.0,1.0
768,1.0,1.0
769,1.0,1.0
770,3.0,3.0
771,2.0,2.0
772,1.0,1.0
773,1.0,1.0
774,3.0,3.0
775,3.0,3.0
776,2.0,2.0
777,2.0,2.0
778,1.0,1.0
779,3.0,3.0
780,2.0,2.0
781,3.0,3.0
782,2.0,2.0
783,1.0,1.0
784,2.0,2.0
785,3.0,3.0
786,1.0,1.0
787,2.0,2.0
788,1.0,1.0
789,3.0,3.0
790,1.0,1.0
791,1.0,1.0
792,1.0,1.0
793,2.0,2.0
794,2.0,2.0
795,3.0,3.0
796,3.0,3.0
797,2.0,2.0
798,1.0,1.0
799,3.0,3.0
800,1.0,1.0
801,1.0,1.0
802,1.0,1.0
803,3.0,3.0
804,1.0,1.0
805,2.0,2.0
806,1.0,1.0
807,1.0,1.0
808,2.0,2.0
809,1.0,1.0
810,1.0,1.0
811,1.0,1.0
812,1.0,1.0
813,1.0,1.0
814,1.0,1.0
815,1.0,1.0
816,1.0,1.0
817,2.0,2.0
818,2.0,2.0
819,2.0,2.0
820,2.0,2.0
821,1.0,1.0
822,1.0,1.0
823,1.0,1.0
824,1.0,1.0
825,1.0,1.0
826,3.0,3.0
827,2.0,2.0
828,1.0,1.0
829,1.0,1.0
830,2.0,2.0
831,1.0,1.0
832,1.0,1.0
833,3.0,3.0
834,1.0,1.0
835,1.0,1.0
836,3.0,3.0
837,2.0,2.0
838,3.0,3.0
839,1.0,1.0
840,1.0,1.0
841,3.0,3.0
842,1.0,1.0
843,3.0,3.0
844,3.0,3.0
845,2.0,2.0
846,1.0,1.0
847,2.0,2.0
848,3.0,3.0
849,1.0,1.0
850,1.0,1.0
851,1.0,1.0
852,1.0,1.0
853,2.0,2.0
854,1.0,1.0
855,1.0,1.0
856,1.0,1.0
857,2.0,2.0
858,3.0,3.0
859,3.0,3.0
860,2.0,2.0
861,1.0,1.0
862,1.0,1.0
863,3.0,3.0
864,2.0,2.0
865,1.0,1.0
866,1.0,1.0
867,1.0,1.0
868,3.0,3.0
869,1.0,1.0
870,2.0,2.0
871,2.0,2.0
872,2.0,2.0
873,1.0,1.0
874,2.0,2.0
875,1.0,1.0
876,3.0,3.0
877,3.0,3.0
878,1.0,1.0
879,3.0,3.0
880,2.0,2.0
881,2.0,2.0
882,3.0,3.0
883,1.0,1.0
884,1.0,1.0
885,2.0,2.0
886,1.0,1.0
887,1.0,1.0
888,2.0,2.0
889,2.0,2.0
890,3.0,3.0
891,1.0,1.0
892,1.0,1.0
893,1.0,1.0
894,3.0,3.0
895,1.0,1.0
896,3.0,3.0
897,3.0,3.0
898,3.0,3.0
899,3.0,3.0
900,3.0,3.0
901,2.0,2.0
902,1.0,1.0
903,3.0,3.0
904,2.0,2.0
905,3.0,3.0
906,1.0,1.0
907,3.0,3.0
908,1.0,1.0
909,2.0,2.0
910,3.0,3.0
911,1.0,1.0
912,3.0,3.0
913,2.0,2.0
914,3.0,3.0
915,3.0,3.0
916,1.0,1.0
917,2.0,2.0
918,2.0,2.0
919,1.0,1.0
920,1.0,1.0
921,2.0,2.0
922,1.0,1.0
923,3.0,3.0
924,1.0,1.0
925,1.0,1.0
926,3.0,3.0
927,1.0,1.0
928,1.0,1.0
929,3.0,3.0
930,3.0,3.0
931,2.0,2.0
932,1.0,1.0
933,2.0,2.0
934,1.0,1.0
935,1.0,1.0
936,3.0,3.0
937,2.0,2.0
938,1.0,1.0
939,3.0,3.0
940,3.0,3.0
941,1.0,1.0
942,3.0,3.0
943,1.0,1.0
944,2.0,2.0
945,1.0,1.0
946,1.0,1.0
947,3.0,3.0
948,2.0,2.0
949,1.0,1.0
950,1.0,1.0
951,3.0,3.0
952,3.0,3.0
953,2.0,2.0
954,1.0,1.0
955,1.0,1.0
956,3.0,3.0
957,1.0,1.0
958,1.0,1.0
959,1.0,1.0
960,3.0,3.0
961,3.0,3.0
962,1.0,1.0
963,3.0,3.0
964,1.0,1.0
965,1.0,1.0
966,1.0,1.0
967,2.0,2.0
968,1.0,1.0
969,2.0,2.0
970,1.0,1.0
971,2.0,2.0
972,1.0,1.0
973,3.0,3.0
974,3.0,3.0
975,1.0,1.0
976,1.0,1.0
977,1.0,1.0
978,1.0,1.0
979,1.0,1.0
980,2.0,2.0
981,1.0,1.0
982,1.0,1.0
983,1.0,1.0
984,1.0,1.0
985,2.0,2.0
986,2.0,2.0
987,2.0,2.0
988,1.0,1.0
989,1.0,1.0
990,3.0,3.0
991,2.0,2.0
992,1.0,1.0
993,3.0,3.0
994,1.0,1.0
995,3.0,3.0
996,1.0,1.0
997,2.0,2.0
998,2.0,2.0
999,2.0,2.0
1000,2.0,2.0
1001,1.0,1.0
1002,1.0,1.0
1003,1.0,1.0
1004,2.0,2.0
1005,2.0,2.0
1006,2.0,2.0
1007,3.0,3.0
1008,1.0,1.0
1009,2.0,2.0
